MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
1.3063535880900798,52.0,0.6220126529981373,0.3892060838099546,-1.1288973672625755,-0.47275262748061103,37.85,-122.25,3.413
0.09133891500144904,52.0,1.0655872347819428,0.5110072423604302,-1.117819244183951,-1.0527132860080013,37.85,-122.25,3.422
0.22021742615437545,52.0,-0.3861189619447528,0.8533418018926069,-1.3583727738912297,-1.1185001322617905,37.85,-122.25,2.697
-0.035172991801869426,52.0,-0.2235405538002767,-1.4586388915378221,-0.28062965724217176,-1.1366860415513405,37.84,-122.25,2.992
-0.3996976789085982,52.0,-0.3518659447947092,0.21860626349709905,-0.18092654953454965,-1.6749838280354354,37.84,-122.25,2.414
-1.1026467880092388,42.0,-0.8325953421160577,1.0662221162235432,-0.10337968798417692,-1.2973343531863832,37.84,-122.26,2.267
-0.013467849052609691,52.0,-0.1866016486413438,-0.8689833499225263,0.44261352089089645,-1.0672697850099473,37.84,-122.25,2.611
-0.3435077299221965,52.0,0.2975792183043366,0.4885488427471053,-0.5718260353088775,-0.9226069206273008,37.85,-122.26,2.815
-0.29793369187546387,52.0,-0.3757849693698704,-0.3477636844440734,0.3682318373629879,-1.2622726159058992,37.85,-122.26,2.418
-0.43012544911784095,52.0,0.1495983393598957,-0.5254557523818052,-0.2742993011972434,-0.7920925113796168,37.85,-122.26,2.135
-0.701541159384287,52.0,-1.113462165365933,0.7633650273571808,-1.4659888266550123,-1.3671745639363753,37.84,-122.26,1.913
-1.213336254303751,52.0,-0.8624034662609639,-0.5731802315240198,-0.09388415391678434,-1.411358522907242,37.85,-122.26,1.592
-1.0724894868685226,50.0,-0.8819598140811874,0.3726607166432213,-0.9089174947013141,-0.3268338313347344,37.85,-122.26,1.4
-0.6329772505127932,52.0,0.7387314956305269,0.013844521340484351,-0.7569889496230329,-0.713573082786652,37.85,-122.27,1.525
-1.0757351156908417,52.0,-1.063035910630642,-1.221240856707683,-0.9864643562516869,-1.1205297391262226,37.85,-122.27,1.555
-1.1630290075578027,50.0,0.16967691116130248,0.5844636047320667,-0.4452189144103098,-0.7657994108981924,37.84,-122.26,1.587
-0.7490760981778374,52.0,0.285969548150356,0.5498064477750546,-0.9199956177799388,-0.5342405253725816,37.84,-122.27,1.629
-1.591249160302547,40.0,-0.6129777899604317,0.9263277451768391,-1.364703129936158,-0.6058268179870796,37.85,-122.27,1.475
